2018-08-01	2130	등기우편	생활비
2018-08-02	7500	기타	기타
2018-08-02	3600	점심	식비
2018-08-03	2500	아이스티	간식비
2018-08-03	72300	교통비	교통비
2018-08-03	2800	점심	식비
2018-08-04	4000	점심	식비
2018-08-05	3320	심부름	기타
2018-08-06	2500	과자	간식비
2018-08-06	11000	오리고기	생활비
2018-08-06	2700	감기약처방	의료비
2018-08-06	4500	감기약	의료비
2018-08-07	2800	점심	식비
2018-08-08	2000	점심	식비
2018-08-09	16000	썬크림	생활비
2018-08-09	2800	점심	식비
2018-08-09	44500	토익	교육비
2018-08-10	4500	점심	식비
2018-08-11	3020	과자	간식비
2018-08-11	5000	썬크림	생활비
2018-08-11	1000	빵	간식비
2018-08-12	1000	과자	간식비
2018-08-12	6000	짜장면	식비
2018-08-15	5800	커피	유흥비
2018-08-15	2400	과자	간식비
2018-08-16	5500	점심	식비
2018-08-16	1300	과자	간식비
2018-08-19	2520	과자	간식비
2018-08-20	3450	과자	간식비
2018-08-21	52270	통신비	통신비
2018-08-22	4400	빵	간식비
2018-08-22	42100	책	책
2018-08-22	8500	라면	식비
2018-08-24	2720	과자	간식비
2018-08-25	5500	점심	식비
2018-08-25	1850	노트	문구비
2018-08-26	5500	빵	간식비
2018-08-26	3500	점심	식비
2018-08-27	44500	토익	교육비
2018-08-30	3600	과자	간식비
2018-08-31	5000	점심	식비
2018-09-01	1800	음료수	간식비
2018-09-01	15000	토익책	책
2018-09-01	5600	햄버거	식비
2018-09-02	3820	과자	간식비
2018-09-03	3600	점심	식비
2018-09-04	2700	과자	간식비
2018-09-04	2800	점심	식비
2018-09-05	57500	교통비	교통비
2018-09-05	2800	점심	식비
2018-09-06	2000	핫도그	간식비
2018-09-06	3700	점심	식비
2018-09-07	2800	점심	식비
2018-09-08	2020	물	셍활비
2018-09-08	8900	피자	식비
2018-09-09	3700	빵	간식비
2018-09-09	5900	저녁	식비
2018-09-09	10000	동아리회비	기타
2018-09-10	2200	과자	간식비
2018-09-10	5000	점심	식비
2018-09-10	3600	점심	식비
2018-09-11	3300	점심	식비
2018-09-12	2000	물티슈	생활비
2018-09-12	6000	저녁	식비
2018-09-12	2800	점심	식비
2018-09-13	3800	점심	식비
2018-09-14	3500	점심	식비
2018-09-15	5100	빵	간식비
2018-09-16	44500	토익접수	교육비
2018-09-16	3700	과자	간식비
